"","weighted_mean.X1900_si.x_fbi_best","weighted_mean.X1901_si.x_fbi_best","weighted_mean.X1902_si.x_fbi_best","weighted_mean.X1903_si.x_fbi_best","weighted_mean.X1904_si.x_fbi_best","weighted_mean.X1905_si.x_fbi_best","weighted_mean.X1906_si.x_fbi_best","weighted_mean.X1907_si.x_fbi_best","weighted_mean.X1908_si.x_fbi_best","weighted_mean.X1909_si.x_fbi_best","weighted_mean.X1910_si.x_fbi_best","weighted_mean.X1911_si.x_fbi_best","weighted_mean.X1912_si.x_fbi_best","weighted_mean.X1913_si.x_fbi_best","weighted_mean.X1914_si.x_fbi_best","weighted_mean.X1915_si.x_fbi_best","weighted_mean.X1916_si.x_fbi_best","weighted_mean.X1917_si.x_fbi_best","weighted_mean.X1918_si.x_fbi_best","weighted_mean.X1919_si.x_fbi_best","weighted_mean.X1920_si.x_fbi_best","weighted_mean.X1921_si.x_fbi_best","weighted_mean.X1922_si.x_fbi_best","weighted_mean.X1923_si.x_fbi_best","weighted_mean.X1924_si.x_fbi_best","weighted_mean.X1925_si.x_fbi_best","weighted_mean.X1926_si.x_fbi_best","weighted_mean.X1927_si.x_fbi_best","weighted_mean.X1928_si.x_fbi_best","weighted_mean.X1929_si.x_fbi_best","weighted_mean.X1930_si.x_fbi_best","weighted_mean.X1931_si.x_fbi_best","weighted_mean.X1932_si.x_fbi_best","weighted_mean.X1933_si.x_fbi_best","weighted_mean.X1934_si.x_fbi_best","weighted_mean.X1935_si.x_fbi_best","weighted_mean.X1936_si.x_fbi_best","weighted_mean.X1937_si.x_fbi_best","weighted_mean.X1938_si.x_fbi_best","weighted_mean.X1939_si.x_fbi_best","weighted_mean.X1940_si.x_fbi_best","weighted_mean.X1941_si.x_fbi_best","weighted_mean.X1942_si.x_fbi_best","weighted_mean.X1943_si.x_fbi_best","weighted_mean.X1944_si.x_fbi_best","weighted_mean.X1945_si.x_fbi_best","weighted_mean.X1946_si.x_fbi_best","weighted_mean.X1947_si.x_fbi_best","weighted_mean.X1948_si.x_fbi_best","weighted_mean.X1949_si.x_fbi_best","weighted_mean.X1950_si.x_fbi_best","weighted_mean.X1951_si.x_fbi_best","weighted_mean.X1952_si.x_fbi_best","weighted_mean.X1953_si.x_fbi_best","weighted_mean.X1954_si.x_fbi_best","weighted_mean.X1955_si.x_fbi_best","weighted_mean.X1956_si.x_fbi_best","weighted_mean.X1957_si.x_fbi_best","weighted_mean.X1958_si.x_fbi_best","weighted_mean.X1959_si.x_fbi_best","weighted_mean.X1960_si.x_fbi_best","weighted_mean.X1961_si.x_fbi_best","weighted_mean.X1962_si.x_fbi_best","weighted_mean.X1963_si.x_fbi_best","weighted_mean.X1964_si.x_fbi_best","weighted_mean.X1965_si.x_fbi_best","weighted_mean.X1966_si.x_fbi_best","weighted_mean.X1967_si.x_fbi_best","weighted_mean.X1968_si.x_fbi_best","weighted_mean.X1969_si.x_fbi_best","weighted_mean.X1970_si.x_fbi_best","weighted_mean.X1971_si.x_fbi_best","weighted_mean.X1972_si.x_fbi_best","weighted_mean.X1973_si.x_fbi_best","weighted_mean.X1974_si.x_fbi_best","weighted_mean.X1975_si.x_fbi_best","weighted_mean.X1976_si.x_fbi_best","weighted_mean.X1977_si.x_fbi_best","weighted_mean.X1978_si.x_fbi_best","weighted_mean.X1979_si.x_fbi_best","weighted_mean.X1980_si.x_fbi_best","weighted_mean.X1981_si.x_fbi_best","weighted_mean.X1982_si.x_fbi_best","weighted_mean.X1983_si.x_fbi_best","weighted_mean.X1984_si.x_fbi_best","weighted_mean.X1985_si.x_fbi_best","weighted_mean.X1986_si.x_fbi_best","weighted_mean.X1987_si.x_fbi_best","weighted_mean.X1988_si.x_fbi_best","weighted_mean.X1989_si.x_fbi_best","weighted_mean.X1990_si.x_fbi_best","weighted_mean.X1991_si.x_fbi_best","weighted_mean.X1992_si.x_fbi_best","weighted_mean.X1993_si.x_fbi_best","weighted_mean.X1994_si.x_fbi_best","weighted_mean.X1995_si.x_fbi_best","weighted_mean.X1996_si.x_fbi_best","weighted_mean.X1997_si.x_fbi_best","weighted_mean.X1998_si.x_fbi_best","weighted_mean.X1999_si.x_fbi_best","weighted_mean.X2000_si.x_fbi_best","weighted_mean.X2001_si.x_fbi_best","weighted_mean.X2002_si.x_fbi_best","weighted_mean.X2003_si.x_fbi_best","weighted_mean.X2004_si.x_fbi_best","weighted_mean.X2005_si.x_fbi_best","weighted_mean.X2006_si.x_fbi_best","weighted_mean.X2007_si.x_fbi_best","weighted_mean.X2008_si.x_fbi_best","weighted_mean.X2009_si.x_fbi_best","weighted_mean.X2010_si.x_fbi_best","weighted_mean.X2011_si.x_fbi_best","weighted_mean.X2012_si.x_fbi_best","weighted_mean.X2013_si.x_fbi_best","weighted_mean.X2014_si.x_fbi_best","weighted_mean.X2015_si.x_fbi_best","weighted_mean.X2016_si.x_fbi_best","weighted_mean.X2017_si.x_fbi_best","weighted_mean.X2018_si.x_fbi_best","weighted_mean.X2019_si.x_fbi_best","weighted_mean.X2020_si.x_fbi_best","weighted_mean.X2021_si.x_fbi_best"
"Mt. Hood National Forest",117.359527587891,134.945648193359,135.088409423828,135.79443359375,132.776977539062,120.828140258789,121.128631591797,131.631652832031,131.770706176758,134.924255371094,119.169845581055,136.341537475586,134.700790405273,134.63493347168,119.837837219238,117.220832824707,131.256729125977,146.760833740234,125.408050537109,128.966079711914,141.333297729492,132.906280517578,144.076171875,128.266296386719,127.537132263184,119.082061767578,107.178085327148,135.665618896484,129.825180053711,136.354766845703,116.283195495605,122.720184326172,127.603248596191,138.70556640625,98.5967102050781,136.138473510742,123.52188873291,133.445693969727,131.793563842773,121.699440002441,117.475563049316,114.305847167969,130.936264038086,129.434326171875,134.33967590332,129.776382446289,128.747360229492,115.942924499512,144.11848449707,126.858627319336,140.926818847656,127.943634033203,132.149566650391,129.917373657227,132.626449584961,149.740036010742,129.216033935547,126.772018432617,124.467231750488,130.428283691406,130.975784301758,127.947357177734,127.844673156738,134.20068359375,143.840545654297,127.818641662598,124.741851806641,138.698013305664,125.485679626465,130.902786254883,135.374145507812,133.221298217773,131.96794128418,128.332534790039,132.33283996582,142.282516479492,134.387222290039,125.898048400879,124.27271270752,128.294921875,126.215072631836,125.737884521484,137.369995117188,121.527534484863,131.297653198242,131.773544311523,125.116493225098,119.887733459473,126.223785400391,122.795608520508,112.81893157959,133.059341430664,106.280456542969,129.055953979492,117.898872375488,127.004814147949,126.175064086914,128.410934448242,125.079925537109,140.6123046875,129.252563476562,132.03938293457,135.262771606445,128.48161315918,117.555465698242,121.012069702148,129.43376159668,125.205291748047,139.923645019531,137.050155639648,129.069183349609,145.969604492188,132.720993041992,124.68221282959,123.988876342773,107.339492797852,110.460990905762,134.742767333984,126.352806091309,126.699378967285,127.492050170898,127.492431640625
"Gifford Pinchot National Forest",120.178108215332,140.128112792969,139.116806030273,140.663177490234,138.756622314453,126.54133605957,125.737091064453,137.15168762207,140.763381958008,141.616104125977,126.97541809082,142.623229980469,137.372680664062,140.602355957031,124.216125488281,120.459136962891,139.953079223633,151.986053466797,134.3857421875,134.262359619141,147.736755371094,139.200637817383,147.265625,135.310440063477,131.586380004883,127.614837646484,113.609100341797,142.461502075195,133.634887695312,142.674652099609,126.442985534668,127.281723022461,135.75163269043,145.413360595703,107.544570922852,139.905532836914,129.187866210938,138.97151184082,135.120452880859,127.709564208984,121.533264160156,118.437278747559,134.823654174805,135.456954956055,137.967208862305,136.695007324219,133.709533691406,121.931411743164,147.486480712891,131.704254150391,146.738784790039,134.606948852539,136.133422851562,137.726379394531,141.646331787109,153.310073852539,133.823150634766,131.585296630859,126.737342834473,136.829193115234,137.095245361328,133.550888061523,138.088241577148,138.418762207031,148.146575927734,135.309661865234,132.328308105469,143.82258605957,131.402252197266,135.049255371094,139.436050415039,140.008911132812,137.940139770508,133.550552368164,140.062225341797,145.649230957031,141.735778808594,133.671981811523,130.555236816406,131.431091308594,132.202301025391,129.973114013672,142.277877807617,125.042846679688,136.990783691406,138.402053833008,129.863021850586,122.848503112793,133.279449462891,130.906585693359,124.937339782715,139.312454223633,112.706489562988,131.459564208984,122.489059448242,129.573638916016,133.29377746582,132.175140380859,129.424163818359,145.326614379883,134.452209472656,135.933609008789,141.563995361328,132.735214233398,121.813354492188,125.854522705078,131.567184448242,131.317153930664,146.2255859375,139.974655151367,134.274658203125,150.262878417969,139.045074462891,129.887786865234,130.832550048828,115.071098327637,115.624465942383,138.56494140625,130.330123901367,132.039932250977,133.91552734375,133.831512451172
"Eldorado National Forest",108.123374938965,118.591659545898,127.883651733398,126.578140258789,118.512351989746,110.068267822266,114.95841217041,117.394638061523,118.719131469727,119.786231994629,111.418060302734,125.239143371582,130.985168457031,126.62548828125,107.99674987793,118.270874023438,111.783805847168,134.776321411133,121.936515808105,122.032752990723,126.54549407959,118.959121704102,133.12712097168,117.401191711426,115.299545288086,112.474639892578,105.163269042969,122.039039611816,113.15747833252,127.369232177734,116.378303527832,107.383003234863,118.35538482666,130.637557983398,92.0994110107422,127.102142333984,111.089569091797,125.119415283203,127.633171081543,111.679649353027,109.072395324707,113.602600097656,126.001945495605,108.724678039551,128.470932006836,124.021003723145,117.739669799805,108.992973327637,133.664337158203,121.48575592041,119.473419189453,115.264068603516,124.786376953125,121.647590637207,113.824729919434,133.650405883789,122.983390808105,118.762496948242,121.684295654297,105.831466674805,113.907508850098,116.045555114746,116.678100585938,126.99048614502,126.562545776367,122.639579772949,109.917266845703,135.357070922852,110.019760131836,124.05103302002,113.079833984375,124.013229370117,106.973876953125,121.540077209473,119.695114135742,134.936325073242,120.475494384766,119.929130554199,109.67414855957,121.566879272461,117.199447631836,112.455947875977,125.933074951172,126.575386047363,112.579849243164,115.143768310547,99.1571044921875,110.710708618164,106.830436706543,107.312957763672,108.273895263672,124.078750610352,103.553268432617,115.160621643066,108.724815368652,119.336532592773,106.657691955566,103.457641601562,130.745376586914,125.509269714355,109.061935424805,115.826210021973,112.542694091797,116.913787841797,102.678619384766,116.556228637695,123.400939941406,103.888710021973,116.974555969238,116.530410766602,125.423774719238,128.126724243164,114.880630493164,105.890525817871,94.4656295776367,85.1691360473633,98.0077590942383,112.192512512207,111.190696716309,117.026252746582,110.53165435791,109.781059265137
"Coconino National Forest",95.8279800415039,110.664489746094,108.812370300293,112.937454223633,97.3736343383789,106.255218505859,103.650985717773,97.8502883911133,104.239044189453,112.309112548828,93.9459609985352,95.5606155395508,115.325973510742,116.852157592773,97.9710159301758,110.752113342285,95.5467910766602,121.667640686035,104.364219665527,112.659576416016,114.577278137207,98.3611907958984,118.662628173828,110.192428588867,117.017303466797,97.2743759155273,104.477874755859,103.348342895508,102.852973937988,117.017585754395,103.207893371582,101.326766967773,106.811973571777,119.606521606445,85.9995880126953,108.74878692627,105.161117553711,114.630653381348,110.179611206055,107.058876037598,99.6475372314453,113.489151000977,110.797859191895,96.4199600219727,120.066535949707,116.404243469238,103.988563537598,99.3467483520508,112.395866394043,112.567832946777,96.8097534179688,106.823051452637,116.107795715332,103.337455749512,101.387504577637,115.399887084961,105.807243347168,95.7802963256836,114.873344421387,101.312828063965,102.742958068848,103.881050109863,107.720108032227,106.733123779297,122.261459350586,114.43383026123,106.018615722656,98.1348724365234,105.696830749512,109.955207824707,114.223648071289,98.9471740722656,85.699089050293,124.59880065918,104.516647338867,125.068321228027,108.417251586914,110.803802490234,99.2854385375977,115.150405883789,109.005966186523,100.419128417969,107.37899017334,115.983436584473,105.617034912109,102.338485717773,86.3664703369141,110.514381408691,101.672050476074,91.2587890625,102.15340423584,111.54256439209,103.15355682373,102.816764831543,99.656982421875,96.3701095581055,93.1214828491211,100.311813354492,117.328605651855,96.7330627441406,98.3504943847656,104.477157592773,97.6650009155273,99.9839324951172,94.0905609130859,102.322731018066,103.306579589844,92.9472732543945,104.876853942871,96.950309753418,111.165451049805,100.389175415039,98.7737884521484,97.474853515625,89.1831283569336,83.6613082885742,88.1871032714844,90.7016220092773,94.8218765258789,105.211059570312,104.596473693848,103.147171020508
"Tonto National Forest",75.6262664794922,83.6698532104492,86.0742568969727,91.8050003051758,75.8776473999023,77.5437316894531,80.623420715332,74.7718811035156,81.3996658325195,87.6288452148438,74.6359710693359,76.8629837036133,86.3825149536133,94.6000900268555,77.6238174438477,90.3356246948242,74.2401885986328,96.1510925292969,82.7872314453125,94.8189392089844,82.3508453369141,74.1294860839844,95.018684387207,84.900390625,89.1985015869141,77.6000366210938,82.1200942993164,76.4940643310547,81.8555297851562,93.4147567749023,79.6009902954102,79.6047592163086,88.2595672607422,95.1164932250977,68.733528137207,83.7415466308594,82.1945343017578,94.7974395751953,83.8502960205078,90.8307723999023,79.4669418334961,81.3849639892578,91.130500793457,74.0765762329102,94.4708023071289,92.4680099487305,85.8414535522461,79.3023452758789,93.5798645019531,93.1590347290039,75.8388824462891,85.3323516845703,94.9370803833008,83.1843109130859,74.4376831054688,91.9105606079102,86.1704330444336,69.4935531616211,85.4850921630859,81.4764938354492,87.4690322875977,78.6949005126953,87.5036849975586,80.2937469482422,100.87272644043,90.3620223999023,88.9050369262695,76.8453216552734,77.759391784668,88.9280776977539,83.7605056762695,80.6089782714844,69.8685989379883,97.3581314086914,83.0168685913086,93.101921081543,81.2270431518555,85.9333343505859,78.9867630004883,92.0291748046875,79.6989135742188,77.0941467285156,80.4739227294922,85.5413818359375,81.4379653930664,83.6729507446289,68.3430404663086,87.341064453125,79.2961578369141,73.9327774047852,83.1548690795898,79.8302764892578,80.5034561157227,79.0933380126953,79.7197418212891,71.8133010864258,69.3268203735352,78.3583679199219,91.2983703613281,71.572380065918,72.2264633178711,85.114387512207,78.6274566650391,74.2446212768555,79.0368804931641,76.2475662231445,77.4773483276367,77.101448059082,82.6654815673828,71.608154296875,85.4266967773438,80.7569351196289,77.6556777954102,81.7396850585938,66.9490432739258,64.9025115966797,67.8119430541992,71.8532562255859,73.552131652832,85.1545333862305,79.3389053344727,80.2213516235352
"Lolo National Forest",141.530776977539,151.34162902832,160.961135864258,159.991622924805,155.593338012695,156.221710205078,151.176239013672,160.800827026367,162.92822265625,165.217880249023,137.000900268555,158.950744628906,156.365493774414,155.679885864258,150.397308349609,148.782730102539,167.996032714844,166.820892333984,157.282318115234,148.248306274414,167.496658325195,155.0419921875,158.678863525391,156.745895385742,150.152374267578,146.546600341797,142.381256103516,165.293304443359,147.068481445312,159.833221435547,148.460983276367,148.539764404297,156.110214233398,161.455368041992,133.482208251953,159.378952026367,142.741226196289,153.495223999023,154.390487670898,141.110473632812,146.188186645508,145.192718505859,158.050262451172,162.730926513672,151.89274597168,162.457595825195,151.132446289062,145.933868408203,155.450241088867,144.790603637695,166.146087646484,158.603927612305,147.232360839844,162.764724731445,158.452789306641,166.182418823242,151.283615112305,149.29736328125,145.194427490234,161.156433105469,159.117095947266,155.177963256836,158.200790405273,153.83869934082,160.29573059082,157.924438476562,150.459197998047,161.453125,159.599700927734,146.008865356445,157.027862548828,154.081161499023,153.903564453125,153.167724609375,160.775131225586,164.812850952148,152.555572509766,151.957427978516,155.968795776367,153.078384399414,142.79963684082,152.532104492188,161.839462280273,155.00520324707,164.84521484375,147.787826538086,150.074127197266,134.075408935547,150.023635864258,154.241119384766,158.72151184082,160.337005615234,140.422821044922,146.175064086914,144.427658081055,156.825180053711,162.302062988281,152.139617919922,146.155334472656,160.797912597656,151.886367797852,151.380249023438,163.737182617188,154.379806518555,152.022674560547,155.570785522461,147.154968261719,145.218109130859,163.970077514648,155.687789916992,165.654006958008,168.336853027344,154.139465332031,151.290908813477,153.845367431641,145.5126953125,142.854339599609,151.513214111328,145.828948974609,152.936096191406,154.587417602539,154.945404052734
"Flathead National Forest",146.938537597656,157.690719604492,165.534652709961,162.777893066406,159.492416381836,160.243423461914,156.685485839844,167.599990844727,165.123001098633,168.102615356445,139.662780761719,161.543975830078,158.344009399414,157.552505493164,154.81867980957,152.196990966797,170.186965942383,168.956497192383,160.250732421875,152.751724243164,170.932312011719,158.162353515625,160.446472167969,159.627105712891,155.463668823242,151.840454101562,145.91487121582,168.432510375977,149.57780456543,162.631454467773,153.887115478516,151.324234008789,158.619781494141,162.529739379883,139.075241088867,163.805252075195,145.834716796875,156.842041015625,158.182052612305,144.386611938477,151.053436279297,149.214630126953,161.917709350586,168.532318115234,153.571914672852,167.255126953125,154.464721679688,151.585021972656,157.073547363281,147.411041259766,168.412948608398,163.258758544922,150.132171630859,166.024765014648,164.870498657227,168.672760009766,154.452545166016,151.347915649414,146.996490478516,164.57795715332,162.33415222168,156.769409179688,160.882034301758,157.071899414062,163.10856628418,161.538650512695,155.8486328125,166.307083129883,163.001373291016,149.161346435547,158.202514648438,156.523208618164,156.348510742188,156.666625976562,163.597305297852,167.184051513672,156.405609130859,154.099548339844,160.531433105469,158.006912231445,144.542404174805,155.982635498047,164.639251708984,157.854797363281,166.654830932617,151.07585144043,152.123428344727,138.060928344727,151.588043212891,157.81103515625,164.347808837891,161.72624206543,144.293594360352,148.952331542969,149.768295288086,160.23762512207,164.513824462891,155.662216186523,149.384384155273,163.043991088867,156.124877929688,153.892822265625,167.398040771484,157.224136352539,157.819000244141,159.177749633789,150.090362548828,148.776397705078,164.867324829102,159.836029052734,169.057754516602,170.86979675293,158.074508666992,154.126190185547,157.217330932617,149.409393310547,146.668838500977,152.515121459961,146.7021484375,156.330413818359,158.186370849609,157.54377746582
"Nez Perce-Clearwater National Forest",138.928924560547,146.980422973633,156.7646484375,154.862777709961,151.048355102539,150.189956665039,144.510482788086,153.2998046875,156.437713623047,158.240432739258,134.238372802734,154.693084716797,152.584030151367,152.322113037109,143.178787231445,142.999404907227,161.297317504883,164.172241210938,151.785034179688,146.281799316406,161.898712158203,151.281341552734,156.043182373047,152.436630249023,144.526626586914,140.83740234375,136.911895751953,159.28254699707,144.002517700195,155.33317565918,142.450866699219,144.806091308594,151.365097045898,157.931427001953,126.077407836914,154.455413818359,138.86328125,149.883743286133,150.196411132812,137.301879882812,140.250946044922,139.80549621582,152.336898803711,155.2626953125,149.234558105469,155.330764770508,145.180969238281,139.071060180664,153.887100219727,140.435821533203,160.709014892578,150.671966552734,143.714645385742,156.758331298828,150.126968383789,162.814239501953,145.799514770508,145.542861938477,143.057510375977,155.895111083984,153.818710327148,151.27229309082,153.589431762695,149.164215087891,157.259780883789,152.377532958984,144.61408996582,156.601776123047,153.326583862305,142.642776489258,154.732727050781,150.167892456055,150.309799194336,148.173294067383,155.259735107422,161.034027099609,149.286666870117,146.952407836914,150.363784790039,147.58984375,141.700637817383,148.307006835938,157.569610595703,150.112777709961,161.431533813477,145.207366943359,145.817337036133,131.074768066406,146.496963500977,146.482452392578,149.482376098633,158.243103027344,133.556396484375,143.294204711914,139.1513671875,151.72509765625,156.991271972656,147.317825317383,144.819213867188,158.095794677734,146.906646728516,147.823913574219,157.257614135742,151.044540405273,142.842590332031,149.725006103516,144.008407592773,141.699798583984,160.148315429688,151.319046020508,160.007385253906,165.475997924805,150.082443237305,146.242736816406,147.535049438477,137.157028198242,134.109725952148,148.025650024414,141.098663330078,145.491271972656,148.154083251953,147.222564697266
"Idaho Panhandle National Forests",133.1337890625,145.998916625977,152.92822265625,153.437316894531,147.804672241211,144.998382568359,137.71662902832,151.061935424805,151.887588500977,155.863342285156,132.333282470703,151.41845703125,146.238021850586,151.530090332031,142.531387329102,136.828948974609,158.509353637695,159.044586181641,148.4873046875,145.304214477539,158.775054931641,148.457305908203,153.466232299805,147.072906494141,141.418060302734,138.551254272461,133.003936767578,156.404220581055,143.692199707031,150.63037109375,137.610534667969,140.461669921875,146.241439819336,155.282424926758,126.485977172852,152.356918334961,136.829544067383,147.64421081543,147.373962402344,135.371658325195,137.820983886719,134.831604003906,148.102478027344,152.55583190918,144.704132080078,151.440505981445,143.592559814453,137.400344848633,152.392654418945,138.700210571289,157.727890014648,147.456588745117,142.322769165039,151.615280151367,151.016143798828,161.586685180664,145.282791137695,140.773239135742,140.310516357422,153.740859985352,153.357803344727,149.12760925293,150.379913330078,147.891387939453,154.374282836914,149.153854370117,145.572891235352,154.140045166016,150.504302978516,141.314880371094,152.464828491211,146.409072875977,149.201187133789,146.055099487305,153.417953491211,155.388565063477,148.164306640625,146.118408203125,147.526626586914,145.684982299805,137.418090820312,146.10368347168,152.892822265625,147.435836791992,159.183609008789,143.834808349609,145.819610595703,131.635116577148,143.29231262207,143.856201171875,146.43733215332,151.957626342773,133.509750366211,139.77668762207,135.894592285156,145.438262939453,155.630340576172,147.097015380859,135.814163208008,153.822372436523,146.134674072266,146.61897277832,154.352401733398,148.365142822266,138.079849243164,141.970687866211,141.706893920898,140.207916259766,154.318557739258,149.731048583984,152.60920715332,159.141494750977,147.968780517578,142.334503173828,145.280319213867,135.979461669922,128.937805175781,146.721176147461,139.143829345703,141.612701416016,148.019805908203,143.659881591797
"Bitterroot National Forest",151.113662719727,156.040573120117,166.810546875,162.970733642578,162.838012695312,165.60954284668,162.656478881836,167.079620361328,171.702163696289,168.362396240234,143.99853515625,164.728164672852,163.951522827148,157.472412109375,154.527954101562,160.049438476562,174.430374145508,173.815628051758,161.687927246094,153.173553466797,172.690078735352,160.228118896484,163.574844360352,164.090270996094,155.357711791992,153.943939208984,150.007034301758,169.837417602539,149.645370483398,166.32844543457,155.710006713867,153.570983886719,164.195831298828,164.914779663086,136.98112487793,163.527160644531,147.908615112305,160.392059326172,159.540283203125,147.088104248047,150.736602783203,153.374694824219,167.018966674805,168.820281982422,159.504516601562,168.884536743164,155.643218994141,150.66455078125,157.951889038086,149.032592773438,170.286437988281,164.051483154297,151.745422363281,170.114166259766,161.198852539062,169.476379394531,153.344177246094,154.915237426758,149.415542602539,164.736770629883,162.499206542969,158.749313354492,164.994598388672,158.155212402344,166.822891235352,163.73176574707,152.665328979492,166.032577514648,166.071441650391,149.870010375977,161.270233154297,162.491500854492,156.933822631836,157.790817260742,164.775451660156,172.848693847656,157.019912719727,156.993362426758,161.874938964844,158.124252319336,153.221572875977,160.135604858398,168.227310180664,159.581085205078,172.023849487305,153.260406494141,153.657928466797,138.743087768555,156.510025024414,158.940856933594,166.514526367188,168.71696472168,145.321075439453,153.297698974609,151.606018066406,165.659866333008,165.728134155273,156.208450317383,160.45344543457,167.741714477539,156.770660400391,155.883560180664,168.180908203125,159.347732543945,160.11181640625,165.872955322266,152.735885620117,151.027191162109,171.151901245117,159.623001098633,173.865447998047,176.142074584961,164.71955871582,156.79264831543,159.168380737305,151.54753112793,151.858108520508,157.534271240234,150.709060668945,158.361923217773,157.92463684082,160.375534057617
