"","weighted_mean.X1900_si.x_fli_best","weighted_mean.X1901_si.x_fli_best","weighted_mean.X1902_si.x_fli_best","weighted_mean.X1903_si.x_fli_best","weighted_mean.X1904_si.x_fli_best","weighted_mean.X1905_si.x_fli_best","weighted_mean.X1906_si.x_fli_best","weighted_mean.X1907_si.x_fli_best","weighted_mean.X1908_si.x_fli_best","weighted_mean.X1909_si.x_fli_best","weighted_mean.X1910_si.x_fli_best","weighted_mean.X1911_si.x_fli_best","weighted_mean.X1912_si.x_fli_best","weighted_mean.X1913_si.x_fli_best","weighted_mean.X1914_si.x_fli_best","weighted_mean.X1915_si.x_fli_best","weighted_mean.X1916_si.x_fli_best","weighted_mean.X1917_si.x_fli_best","weighted_mean.X1918_si.x_fli_best","weighted_mean.X1919_si.x_fli_best","weighted_mean.X1920_si.x_fli_best","weighted_mean.X1921_si.x_fli_best","weighted_mean.X1922_si.x_fli_best","weighted_mean.X1923_si.x_fli_best","weighted_mean.X1924_si.x_fli_best","weighted_mean.X1925_si.x_fli_best","weighted_mean.X1926_si.x_fli_best","weighted_mean.X1927_si.x_fli_best","weighted_mean.X1928_si.x_fli_best","weighted_mean.X1929_si.x_fli_best","weighted_mean.X1930_si.x_fli_best","weighted_mean.X1931_si.x_fli_best","weighted_mean.X1932_si.x_fli_best","weighted_mean.X1933_si.x_fli_best","weighted_mean.X1934_si.x_fli_best","weighted_mean.X1935_si.x_fli_best","weighted_mean.X1936_si.x_fli_best","weighted_mean.X1937_si.x_fli_best","weighted_mean.X1938_si.x_fli_best","weighted_mean.X1939_si.x_fli_best","weighted_mean.X1940_si.x_fli_best","weighted_mean.X1941_si.x_fli_best","weighted_mean.X1942_si.x_fli_best","weighted_mean.X1943_si.x_fli_best","weighted_mean.X1944_si.x_fli_best","weighted_mean.X1945_si.x_fli_best","weighted_mean.X1946_si.x_fli_best","weighted_mean.X1947_si.x_fli_best","weighted_mean.X1948_si.x_fli_best","weighted_mean.X1949_si.x_fli_best","weighted_mean.X1950_si.x_fli_best","weighted_mean.X1951_si.x_fli_best","weighted_mean.X1952_si.x_fli_best","weighted_mean.X1953_si.x_fli_best","weighted_mean.X1954_si.x_fli_best","weighted_mean.X1955_si.x_fli_best","weighted_mean.X1956_si.x_fli_best","weighted_mean.X1957_si.x_fli_best","weighted_mean.X1958_si.x_fli_best","weighted_mean.X1959_si.x_fli_best","weighted_mean.X1960_si.x_fli_best","weighted_mean.X1961_si.x_fli_best","weighted_mean.X1962_si.x_fli_best","weighted_mean.X1963_si.x_fli_best","weighted_mean.X1964_si.x_fli_best","weighted_mean.X1965_si.x_fli_best","weighted_mean.X1966_si.x_fli_best","weighted_mean.X1967_si.x_fli_best","weighted_mean.X1968_si.x_fli_best","weighted_mean.X1969_si.x_fli_best","weighted_mean.X1970_si.x_fli_best","weighted_mean.X1971_si.x_fli_best","weighted_mean.X1972_si.x_fli_best","weighted_mean.X1973_si.x_fli_best","weighted_mean.X1974_si.x_fli_best","weighted_mean.X1975_si.x_fli_best","weighted_mean.X1976_si.x_fli_best","weighted_mean.X1977_si.x_fli_best","weighted_mean.X1978_si.x_fli_best","weighted_mean.X1979_si.x_fli_best","weighted_mean.X1980_si.x_fli_best","weighted_mean.X1981_si.x_fli_best","weighted_mean.X1982_si.x_fli_best","weighted_mean.X1983_si.x_fli_best","weighted_mean.X1984_si.x_fli_best","weighted_mean.X1985_si.x_fli_best","weighted_mean.X1986_si.x_fli_best","weighted_mean.X1987_si.x_fli_best","weighted_mean.X1988_si.x_fli_best","weighted_mean.X1989_si.x_fli_best","weighted_mean.X1990_si.x_fli_best","weighted_mean.X1991_si.x_fli_best","weighted_mean.X1992_si.x_fli_best","weighted_mean.X1993_si.x_fli_best","weighted_mean.X1994_si.x_fli_best","weighted_mean.X1995_si.x_fli_best","weighted_mean.X1996_si.x_fli_best","weighted_mean.X1997_si.x_fli_best","weighted_mean.X1998_si.x_fli_best","weighted_mean.X1999_si.x_fli_best","weighted_mean.X2000_si.x_fli_best","weighted_mean.X2001_si.x_fli_best","weighted_mean.X2002_si.x_fli_best","weighted_mean.X2003_si.x_fli_best","weighted_mean.X2004_si.x_fli_best","weighted_mean.X2005_si.x_fli_best","weighted_mean.X2006_si.x_fli_best","weighted_mean.X2007_si.x_fli_best","weighted_mean.X2008_si.x_fli_best","weighted_mean.X2009_si.x_fli_best","weighted_mean.X2010_si.x_fli_best","weighted_mean.X2011_si.x_fli_best","weighted_mean.X2012_si.x_fli_best","weighted_mean.X2013_si.x_fli_best","weighted_mean.X2014_si.x_fli_best","weighted_mean.X2015_si.x_fli_best","weighted_mean.X2016_si.x_fli_best","weighted_mean.X2017_si.x_fli_best","weighted_mean.X2018_si.x_fli_best","weighted_mean.X2019_si.x_fli_best","weighted_mean.X2020_si.x_fli_best","weighted_mean.X2021_si.x_fli_best"
"Mt. Hood National Forest",77.7259521484375,95.4040985107422,91.1368865966797,99.1219329833984,100.608253479004,76.5553131103516,85.8945617675781,93.383415222168,94.8713912963867,90.0948333740234,82.3391647338867,91.8419952392578,93.4532318115234,98.2912750244141,78.3381500244141,82.6666412353516,88.3500442504883,109.688735961914,81.5672225952148,89.8666610717773,100.298538208008,83.8215637207031,111.764175415039,93.7271499633789,84.4652481079102,76.8684921264648,70.7534408569336,96.2570724487305,89.8449859619141,96.8198089599609,82.0198211669922,84.3361663818359,86.3064270019531,93.5911026000977,61.9497528076172,98.6816482543945,92.1065902709961,91.8952865600586,92.4861526489258,88.6429748535156,76.6255416870117,75.0650405883789,91.0066986083984,93.0842056274414,96.5365219116211,93.2886352539062,92.4151153564453,77.8663940429688,104.600105285645,93.2880020141602,99.0173110961914,93.4796829223633,97.6184921264648,69.0720748901367,94.4530410766602,112.458038330078,97.3586273193359,91.899055480957,76.343017578125,86.7547225952148,89.23583984375,74.7655563354492,86.7952499389648,77.0399169921875,99.1954345703125,81.8474960327148,90.3719787597656,90.8789749145508,70.8607177734375,93.9474029541016,85.2154693603516,89.1988372802734,75.0366439819336,86.9040374755859,90.271354675293,99.1641235351562,95.7214050292969,86.1563262939453,77.8510589599609,85.9548873901367,92.5945358276367,77.485237121582,92.9755935668945,69.8374633789062,79.352668762207,94.5952987670898,75.5452728271484,83.7952194213867,79.391716003418,92.5485610961914,78.7602615356445,77.0702819824219,63.9796981811523,88.4034576416016,76.9981155395508,70.5344009399414,75.0852813720703,89.8350219726562,83.5194244384766,96.4576950073242,92.896858215332,93.0965881347656,91.8319778442383,75.3364410400391,81.1741027832031,66.5218353271484,88.2348403930664,77.4196319580078,96.974006652832,98.5942306518555,74.6311874389648,94.4988708496094,98.5055618286133,85.6830062866211,83.6637115478516,59.4084129333496,71.4224548339844,90.8130340576172,86.9819641113281,93.277702331543,87.8272476196289,91.9779357910156
"Gifford Pinchot National Forest",80.4406661987305,98.8353958129883,94.9888610839844,101.998031616211,105.262069702148,81.2804870605469,87.7719573974609,102.183952331543,100.695755004883,98.9930877685547,90.6348495483398,97.4908752441406,97.2637786865234,103.946968078613,83.8903274536133,84.1205291748047,96.8755340576172,115.053421020508,92.2890548706055,96.9876251220703,105.271751403809,95.861930847168,116.882293701172,96.9707641601562,90.1318359375,86.6844863891602,78.5899963378906,103.460037231445,96.5513381958008,103.720657348633,89.3176116943359,91.8189392089844,95.5142974853516,100.385772705078,69.4672088623047,101.570678710938,95.1164932250977,99.7271270751953,96.272087097168,93.9843673706055,81.3580703735352,77.9037780761719,92.8627319335938,94.5685272216797,101.552513122559,99.0140075683594,96.2672119140625,85.7037658691406,110.221633911133,95.4459991455078,108.35277557373,98.8482894897461,98.9822616577148,84.5348892211914,103.528053283691,116.276023864746,102.479560852051,98.6752395629883,80.0565567016602,93.5980529785156,93.0160140991211,83.1808090209961,87.091178894043,90.154182434082,106.286094665527,91.154426574707,94.7233810424805,99.5392761230469,82.7520065307617,99.0695495605469,94.7213439941406,98.8034896850586,92.4890670776367,92.0774841308594,97.3979873657227,108.424896240234,102.545822143555,91.1555633544922,87.2784957885742,92.5371398925781,97.252815246582,84.1415786743164,97.6795349121094,79.2261047363281,87.9525985717773,99.1763610839844,81.1451797485352,87.3082885742188,87.5820388793945,96.6288223266602,85.1290435791016,85.9446563720703,71.0365142822266,94.8119659423828,82.3465118408203,83.6640853881836,84.4347457885742,93.2024383544922,84.2490310668945,96.1530075073242,95.4466552734375,96.3692855834961,99.421630859375,84.9466552734375,82.7041854858398,80.9774398803711,89.5630569458008,87.1085739135742,101.496925354004,101.980033874512,79.9801025390625,101.16780090332,100.365257263184,90.2861938476562,92.6551055908203,67.2335662841797,76.4014739990234,100.893600463867,93.4488220214844,97.4318771362305,93.0249862670898,95.1669692993164
"Eldorado National Forest",63.5539512634277,74.6290435791016,80.7206878662109,91.7860260009766,77.2117156982422,66.2516098022461,68.9520874023438,71.2526016235352,81.77685546875,74.5559844970703,75.6413650512695,82.4201812744141,75.4850463867188,83.4336318969727,68.3104705810547,78.3684997558594,74.943977355957,95.1067199707031,80.0861129760742,89.8339767456055,74.3578720092773,73.0073394775391,99.1927185058594,76.5216751098633,70.0176544189453,68.1358871459961,69.7060699462891,78.2375335693359,70.8372268676758,82.8351135253906,73.0071411132812,67.3326110839844,77.8411178588867,87.6174926757812,58.0687637329102,84.9275741577148,69.0592727661133,85.1278228759766,83.8028259277344,82.5509414672852,66.6731948852539,69.6635665893555,80.323616027832,66.0721893310547,87.4557723999023,82.1487045288086,81.3218841552734,69.4883346557617,79.0369491577148,89.9551086425781,75.2698135375977,78.9655303955078,88.6572265625,64.7194976806641,71.3906402587891,88.970947265625,83.438232421875,73.9910430908203,73.824348449707,67.1206665039062,76.3688049316406,67.5991592407227,85.0255508422852,70.2173461914062,83.6710968017578,77.8499526977539,78.692626953125,83.0431976318359,67.9537734985352,91.4723129272461,62.4560394287109,75.207878112793,66.7938919067383,80.4845352172852,77.5285720825195,85.7349243164062,73.5439758300781,76.1150131225586,63.4791984558105,81.5998077392578,71.0055618286133,67.2156829833984,82.1412658691406,79.5462112426758,66.2603073120117,82.4220657348633,51.6995964050293,76.3217926025391,65.2964630126953,74.9435958862305,75.1338500976562,64.6940689086914,67.6649703979492,75.906982421875,67.9426422119141,60.1912879943848,56.1148796081543,61.995418548584,78.6221389770508,75.8139038085938,63.700553894043,76.5392837524414,69.287727355957,57.1460227966309,72.3732528686523,73.0773468017578,71.1420669555664,63.3699493408203,75.8684310913086,67.6499557495117,68.9927825927734,69.9430923461914,65.4981155395508,68.0719451904297,48.6606979370117,43.5314445495605,56.7123794555664,71.9127883911133,52.7716674804688,77.1088714599609,62.8463401794434,66.3348922729492
"Coconino National Forest",56.8141822814941,64.4423446655273,69.4148864746094,80.0139617919922,60.9788665771484,66.445442199707,62.4231224060059,54.2417411804199,67.9559326171875,66.6629409790039,61.666431427002,56.8162689208984,57.3933067321777,82.5013656616211,61.6717376708984,82.477668762207,60.3003883361816,86.8783264160156,64.3248443603516,87.4468765258789,60.2753677368164,61.5788421630859,79.7302703857422,66.8395462036133,68.3516845703125,60.9216346740723,64.5306549072266,59.6946411132812,64.9813461303711,81.8555450439453,67.0716552734375,65.7692337036133,77.550910949707,79.9087982177734,52.6110610961914,69.3427886962891,66.1242446899414,79.7571105957031,65.2599792480469,80.225212097168,65.6408309936523,63.1760787963867,74.9419784545898,57.3411521911621,80.799919128418,69.8034286499023,71.4847640991211,60.4802055358887,77.2363967895508,78.9709548950195,57.3546485900879,67.8646469116211,82.4414215087891,57.4348068237305,56.048942565918,76.0358505249023,65.5639114379883,53.7582511901855,69.3156509399414,66.743896484375,76.7901229858398,62.6883277893066,75.6071548461914,64.8928756713867,90.063232421875,65.7653732299805,78.790283203125,58.5813446044922,63.7061424255371,71.798583984375,58.961051940918,61.6151466369629,58.3262329101562,89.3180160522461,69.0157699584961,74.9281692504883,58.1378784179688,65.6897354125977,62.7505912780762,79.267578125,58.1588554382324,58.3812942504883,64.9301071166992,62.858024597168,65.1401519775391,70.1149978637695,45.739559173584,66.5489044189453,63.2333984375,63.3961334228516,70.4117813110352,61.4302368164062,66.6195602416992,66.6501007080078,63.4122047424316,55.0567245483398,47.693920135498,65.7852096557617,70.0353546142578,50.3395080566406,47.5456771850586,71.7520141601562,62.0730972290039,44.8998146057129,70.4201507568359,56.2687873840332,52.7649192810059,65.7870788574219,70.7011184692383,52.1530799865723,73.4384536743164,65.4908142089844,57.5841026306152,67.3728179931641,48.5897636413574,41.5810852050781,54.4143333435059,58.044921875,44.0156631469727,69.9031677246094,58.863452911377,63.422176361084
"Tonto National Forest",38.8673324584961,48.2086334228516,47.2732353210449,56.2649612426758,48.3797073364258,41.1336059570312,45.9214134216309,40.1575126647949,43.9930686950684,42.3727951049805,44.7226295471191,38.429443359375,41.3216400146484,56.5437469482422,41.963508605957,55.5550918579102,45.7674026489258,58.6582298278809,49.5897331237793,61.7122535705566,41.2784538269043,42.3165321350098,57.4971389770508,43.5145111083984,47.2873382568359,45.6315040588379,49.6690330505371,37.7389221191406,46.1093559265137,56.7957038879395,46.8276786804199,46.1202163696289,58.6988525390625,62.123607635498,38.2422904968262,45.7286148071289,46.9755172729492,62.8388671875,42.4519996643066,59.2536163330078,44.9796485900879,42.6069602966309,49.2954216003418,40.893383026123,54.9717597961426,47.8856239318848,53.5718765258789,45.4616584777832,53.6292839050293,62.2185592651367,43.0373840332031,46.4695625305176,52.2985000610352,39.0418548583984,39.5344505310059,55.8102684020996,44.6002922058105,40.0233955383301,43.2206954956055,44.9344215393066,58.9016990661621,41.446849822998,48.7436714172363,44.255313873291,62.8277320861816,43.3535423278809,59.1314506530762,43.6029472351074,43.9216423034668,42.1169090270996,43.8341407775879,42.1985359191895,44.0796318054199,57.2475624084473,48.4228706359863,49.658821105957,41.1720008850098,45.8584899902344,42.1553611755371,56.2293014526367,39.724365234375,40.3870697021484,46.4981269836426,44.9346389770508,43.0184516906738,51.1161613464355,32.2273483276367,45.2313079833984,44.8671722412109,46.7434997558594,50.7143325805664,42.0776824951172,46.9747886657715,41.7377433776855,44.873592376709,40.033863067627,36.8668022155762,45.2833518981934,44.9754257202148,34.7551689147949,34.0198593139648,50.7217407226562,44.328914642334,30.9714603424072,49.7494773864746,37.5549278259277,38.1455726623535,48.4113922119141,49.2929992675781,34.6355094909668,47.2224311828613,48.8115158081055,38.2255477905273,49.7989463806152,35.1296844482422,34.3717727661133,42.0199851989746,42.212646484375,33.4660568237305,46.3477554321289,40.757984161377,42.2226829528809
"Lolo National Forest",105.513000488281,121.360458374023,127.615547180176,123.816200256348,117.52205657959,113.054779052734,109.204162597656,125.769065856934,117.509284973145,134.124938964844,103.650695800781,116.400894165039,120.798530578613,123.940315246582,116.290405273438,105.503456115723,119.040512084961,131.860900878906,113.335594177246,113.470245361328,131.03173828125,122.743034362793,129.288299560547,118.728202819824,123.528091430664,109.214546203613,108.862411499023,127.052589416504,123.216499328613,128.929534912109,106.227348327637,116.784591674805,117.91773223877,128.692108154297,103.403190612793,126.745101928711,112.950187683105,122.694427490234,117.698776245117,109.756454467773,113.584899902344,108.200325012207,113.009483337402,107.153770446777,119.514533996582,124.70970916748,113.10472869873,114.468109130859,127.637451171875,112.399284362793,132.021743774414,117.56364440918,113.571067810059,121.79133605957,126.172073364258,131.278549194336,118.943328857422,121.608268737793,121.397827148438,122.245254516602,112.302520751953,128.260955810547,111.722328186035,117.915191650391,129.49983215332,121.143585205078,113.857788085938,133.731369018555,121.616889953613,109.094116210938,130.515335083008,120.215751647949,121.370582580566,122.628852844238,117.009773254395,131.891738891602,122.197212219238,114.436149597168,110.406845092773,122.290145874023,114.603759765625,115.565933227539,123.997970581055,121.319862365723,123.343879699707,112.513847351074,108.537559509277,109.986930847168,113.416511535645,114.882080078125,107.006408691406,123.528053283691,104.045417785645,118.888214111328,108.510780334473,121.340148925781,127.690269470215,122.785011291504,114.911727905273,118.556854248047,113.083564758301,123.398849487305,128.481048583984,116.735740661621,103.482940673828,115.875617980957,117.900169372559,111.152755737305,131.341018676758,119.802635192871,123.408317565918,132.273696899414,113.699752807617,120.73755645752,122.115776062012,99.8495330810547,106.186820983887,119.734504699707,121.331756591797,118.028869628906,119.857627868652,118.567268371582
"Flathead National Forest",110.705291748047,123.237266540527,129.705963134766,126.718635559082,120.196174621582,118.249366760254,110.489883422852,131.258239746094,119.164169311523,139.285140991211,104.226844787598,119.605850219727,123.208099365234,125.608070373535,120.315650939941,107.213554382324,121.713493347168,132.797225952148,116.37117767334,117.512130737305,133.762161254883,125.695693969727,131.7255859375,122.651527404785,126.078399658203,115.260971069336,111.508110046387,128.755722045898,124.350021362305,131.794998168945,108.338424682617,118.083686828613,119.505767822266,131.276123046875,107.638778686523,132.102935791016,116.019432067871,124.224632263184,122.602935791016,111.837913513184,121.680183410645,111.934364318848,116.350601196289,112.651000976562,120.579788208008,128.848236083984,114.302024841309,117.811096191406,129.510177612305,114.033599853516,134.211013793945,122.701347351074,114.500282287598,126.494621276855,130.669082641602,134.242401123047,125.719818115234,122.5322265625,123.75895690918,127.799385070801,115.067451477051,132.460693359375,114.622894287109,120.336006164551,132.179061889648,124.855766296387,117.827217102051,137.772003173828,123.608612060547,111.448196411133,131.385665893555,121.307594299316,125.38842010498,126.488677978516,120.470237731934,133.393463134766,123.371589660645,115.601150512695,120.617073059082,127.943397521973,115.234191894531,117.995491027832,127.723182678223,126.228736877441,123.958793640137,116.367645263672,116.412170410156,111.559158325195,116.590171813965,119.510726928711,112.72590637207,124.941352844238,107.963409423828,121.362617492676,111.572334289551,125.85620880127,132.2724609375,124.952201843262,117.464950561523,121.566833496094,117.542572021484,125.896980285645,132.898300170898,119.441551208496,107.891136169434,118.480575561523,121.357681274414,114.718879699707,131.710861206055,123.573913574219,126.658042907715,134.013961791992,117.170463562012,123.174171447754,125.627479553223,105.723831176758,106.685493469238,121.303527832031,122.231056213379,121.774261474609,123.247924804688,120.865135192871
"Nez Perce-Clearwater National Forest",101.985473632812,117.764953613281,122.015274047852,119.348777770996,113.594078063965,104.701118469238,107.911491394043,117.346633911133,113.047775268555,122.853164672852,101.467376708984,113.260780334473,117.155639648438,118.594886779785,107.244621276855,100.98518371582,113.076484680176,129.479263305664,110.107437133789,111.285568237305,126.240592956543,117.924324035645,126.426048278809,115.145797729492,119.289436340332,104.101943969727,104.527000427246,122.073112487793,119.012069702148,123.118469238281,103.080352783203,113.890808105469,115.35612487793,123.368881225586,94.2408142089844,120.866271972656,110.435928344727,119.284332275391,115.50106048584,105.847732543945,105.310417175293,102.361640930176,107.172584533691,104.870788574219,117.457176208496,120.255241394043,109.989852905273,107.757392883301,125.185020446777,108.799102783203,125.831596374512,110.732040405273,111.063850402832,114.642181396484,117.975700378418,129.069519042969,111.030151367188,117.439834594727,116.078407287598,116.079483032227,106.563751220703,118.382484436035,109.087768554688,112.743133544922,125.948089599609,115.223587036133,107.85863494873,126.681198120117,112.29573059082,106.790946960449,126.423782348633,116.631011962891,114.038696289062,116.98949432373,113.96395111084,129.944213867188,120.468330383301,110.538955688477,102.142311096191,115.150970458984,112.426338195801,108.481140136719,120.716453552246,113.555595397949,119.580947875977,108.332824707031,101.518463134766,105.940956115723,110.047950744629,107.64527130127,100.764854431152,117.704330444336,94.5878372192383,113.594627380371,104.386672973633,112.642425537109,116.081001281738,117.857093811035,112.115928649902,117.286712646484,108.919502258301,118.57674407959,120.216377258301,113.448272705078,97.4179000854492,109.948791503906,113.949821472168,104.879165649414,128.969970703125,116.843376159668,115.355262756348,129.311477661133,111.88794708252,113.390121459961,113.651809692383,91.171875,99.9925918579102,112.004180908203,114.311363220215,110.906852722168,114.120048522949,111.402702331543
"Idaho Panhandle National Forests",98.3767395019531,116.675231933594,119.720237731934,117.481224060059,112.591445922852,103.259620666504,105.23567199707,118.44295501709,112.913116455078,120.303787231445,101.912086486816,110.920921325684,108.972129821777,118.653633117676,107.247489929199,100.490440368652,113.899681091309,127.776397705078,107.56714630127,111.145988464355,122.538925170898,116.305953979492,123.019775390625,110.693176269531,118.318580627441,104.419158935547,104.253837585449,121.527557373047,118.519798278809,120.330299377441,101.05647277832,111.170333862305,112.31356048584,119.601753234863,97.2320404052734,120.379539489746,109.768020629883,117.930099487305,114.18278503418,104.811378479004,102.873313903809,97.1583633422852,106.715866088867,106.818534851074,113.893630981445,120.821029663086,111.869041442871,107.212287902832,122.339660644531,108.467498779297,124.420616149902,110.722015380859,110.586540222168,114.888374328613,121.577789306641,129.233001708984,113.710998535156,115.447570800781,110.414337158203,114.445587158203,106.934883117676,115.884269714355,109.237716674805,111.298393249512,121.79549407959,113.429428100586,108.660278320312,125.059783935547,112.239738464355,107.283699035645,125.333297729492,115.412872314453,116.026000976562,114.63224029541,113.039009094238,124.188423156738,118.899971008301,111.969390869141,104.934532165527,114.604377746582,112.671356201172,109.097618103027,119.45320892334,111.378288269043,117.164108276367,108.515060424805,102.951507568359,106.097229003906,108.548149108887,109.478614807129,102.423385620117,113.590278625488,95.0477066040039,110.909202575684,104.702033996582,109.290969848633,113.494018554688,118.377067565918,109.283256530762,113.221649169922,109.043464660645,117.696022033691,115.956970214844,109.235939025879,97.7341003417969,108.365928649902,110.8330078125,106.331184387207,126.683135986328,114.588859558105,112.01407623291,126.907241821289,113.015464782715,113.026374816895,111.672340393066,94.3397216796875,99.6118698120117,114.021842956543,115.749435424805,107.924461364746,115.455322265625,109.792236328125
"Bitterroot National Forest",114.424530029297,124.448921203613,131.389312744141,128.730438232422,122.554496765137,121.421051025391,115.857292175293,128.201812744141,120.609764099121,137.616317749023,107.652534484863,123.087127685547,131.555282592773,125.29483795166,120.010589599609,109.073593139648,121.88907623291,135.22981262207,120.101921081543,116.438003540039,135.667282104492,128.546981811523,134.548370361328,124.935470581055,126.258033752441,115.630836486816,111.714309692383,129.975769042969,124.979904174805,134.266189575195,110.676300048828,121.283218383789,124.07071685791,135.671997070312,103.873031616211,129.951080322266,115.534469604492,126.838424682617,123.17993927002,113.77571105957,117.677749633789,117.454139709473,118.525535583496,110.658958435059,124.212303161621,125.587196350098,114.311874389648,117.278495788574,131.737548828125,114.094261169434,135.073287963867,120.760940551758,115.602691650391,126.380111694336,125.352416992188,133.238739013672,118.577003479004,125.466896057129,127.338653564453,124.333793640137,119.448974609375,131.791427612305,114.92162322998,123.83765411377,134.81591796875,125.602676391602,117.244453430176,137.387222290039,128.828018188477,112.568382263184,133.671203613281,125.101272583008,126.835563659668,127.140953063965,120.760108947754,138.353942871094,125.995460510254,116.046180725098,113.483993530273,125.714424133301,116.256011962891,118.435943603516,128.654891967773,128.553787231445,132.432510375977,116.505096435547,118.957511901855,113.06396484375,119.575454711914,114.433586120605,107.525917053223,131.990982055664,112.126838684082,127.30680847168,110.448448181152,130.727249145508,133.641448974609,127.357215881348,120.233444213867,129.50813293457,115.42512512207,126.174690246582,134.971954345703,126.051490783691,108.363143920898,123.167030334473,123.713356018066,116.334213256836,134.723648071289,126.884956359863,131.469299316406,136.417388916016,120.995567321777,124.117858886719,128.100067138672,108.799118041992,110.538444519043,125.205711364746,123.587135314941,123.870986938477,120.427108764648,125.357398986816
