,Leaf_Ten,Leaf_Twenty,Leaf_Thirty,Bloom_Ten,Bloom_Twenty,Bloom_Thirty,leaf_ave,bloom_ave
Cleveland National Forest,0.884955752,0.970873786,1.075268817,0.884955752,0.970873786,1.075268817,0.977032785,0.977032785
Angeles National Forest,0.884955752,0.970873786,1.075268817,0.884955752,0.970873786,2.150537634,0.977032785,1.335455724
San Bernardino National Forest,0.884955752,0.970873786,1.075268817,0.884955752,0.970873786,2.150537634,0.977032785,1.335455724
Wayne National Forest,12.38938053,11.65048544,11.82795699,1.769911504,1.941747573,1.075268817,11.95594099,1.595642631
Los Padres National Forest,1.769911504,0.970873786,1.075268817,1.769911504,0.970873786,2.150537634,1.272018036,1.630440975
Dixie National Forest,0.884955752,2.912621359,2.150537634,0.884955752,1.941747573,2.150537634,1.982704915,1.65908032
El Yunque National Forest,0.884955752,3.883495146,2.150537634,0.884955752,1.941747573,2.150537634,2.306329511,1.65908032
Monongahela National Forest,4.424778761,0.970873786,4.301075269,0.884955752,1.941747573,2.150537634,3.232242605,1.65908032
George Washington and Jefferson National Forest,10.61946903,8.737864078,8.602150538,0.884955752,0.970873786,3.225806452,9.319827881,1.693878663
Land Between the Lakes National Recreation Area,25.66371681,41.74757282,13.97849462,0.884955752,0.970873786,3.225806452,27.12992808,1.693878663
Hoosier National Forest,15.04424779,9.708737864,3.225806452,1.769911504,1.941747573,2.150537634,9.326264034,1.954065571
Kaibab National Forest,1.769911504,2.912621359,3.225806452,0.884955752,2.912621359,2.150537634,2.636113105,1.982704915
Eldorado National Forest,0.884955752,0.970873786,2.150537634,0.884955752,0.970873786,4.301075269,1.335455724,2.052301602
Stanislaus National Forest,0.884955752,0.970873786,2.150537634,0.884955752,0.970873786,4.301075269,1.335455724,2.052301602
Sequoia National Forest,0.884955752,0.970873786,2.150537634,0.884955752,0.970873786,4.301075269,1.335455724,2.052301602
Tahoe National Forest,1.769911504,0.970873786,2.150537634,0.884955752,0.970873786,4.301075269,1.630440975,2.052301602
Cherokee National Forest,16.81415929,38.83495146,11.82795699,0.884955752,0.970873786,4.301075269,22.49235591,2.052301602
Daniel Boone National Forest,16.81415929,38.83495146,12.90322581,0.884955752,0.970873786,4.301075269,22.85077885,2.052301602
San Juan National Forest,0.884955752,2.912621359,1.075268817,1.769911504,3.883495146,1.075268817,1.624281976,2.242891822
"Grand Mesa, Uncompahgre and Gunnison National Forests",0.884955752,3.883495146,3.225806452,1.769911504,3.883495146,1.075268817,2.66475245,2.242891822
Coronado National Forest,7.079646018,7.766990291,1.075268817,1.769911504,1.941747573,3.225806452,5.307301709,2.31248851
National Forests in North Carolina,16.81415929,36.89320388,16.12903226,0.884955752,1.941747573,4.301075269,23.27879848,2.375926198
Sierra National Forest,1.769911504,0.970873786,2.150537634,0.884955752,0.970873786,5.376344086,1.630440975,2.410724542
Lake Tahoe Basin Management Unit,0.884955752,0.970873786,3.225806452,0.884955752,0.970873786,5.376344086,1.693878663,2.410724542
Apache-Sitgreaves National Forests,5.309734513,6.796116505,3.225806452,2.654867257,2.912621359,2.150537634,5.11055249,2.572675417
Gila National Forest,10.61946903,11.65048544,3.225806452,2.654867257,2.912621359,2.150537634,8.498586972,2.572675417
Cibola National Forest,12.38938053,18.44660194,5.376344086,2.654867257,2.912621359,2.150537634,12.07077552,2.572675417
Tongass National Forest,4.424778761,16.50485437,8.602150538,3.539823009,0.970873786,3.225806452,9.843927889,2.578834416
Santa Fe National Forest,4.424778761,4.854368932,3.225806452,1.769911504,3.883495146,2.150537634,4.168318048,2.601314761
Chattahoochee-Oconee National Forests,11.50442478,38.83495146,22.58064516,1.769911504,1.941747573,4.301075269,24.3066738,2.670911449
Plumas National Forest,0.884955752,1.941747573,3.225806452,0.884955752,2.912621359,4.301075269,2.017503259,2.699550793
Inyo National Forest,0.884955752,1.941747573,5.376344086,0.884955752,1.941747573,5.376344086,2.734349137,2.734349137
Prescott National Forest,0.884955752,1.941747573,2.150537634,2.654867257,2.912621359,3.225806452,1.65908032,2.931098356
Coconino National Forest,1.769911504,2.912621359,2.150537634,2.654867257,2.912621359,3.225806452,2.277690166,2.931098356
Tonto National Forest,0.884955752,2.912621359,2.150537634,1.769911504,2.912621359,4.301075269,1.982704915,2.994536044
Shawnee National Forest,26.54867257,39.80582524,9.677419355,0.884955752,2.912621359,5.376344086,25.34397239,3.057973732
Lincoln National Forest,15.04424779,14.5631068,3.225806452,3.539823009,3.883495146,2.150537634,10.94438701,3.191285263
Umpqua National Forest,3.539823009,7.766990291,7.52688172,0.884955752,7.766990291,1.075268817,6.27789834,3.242404954
Rogue River-Siskiyou National Forests,3.539823009,2.912621359,4.301075269,0.884955752,6.796116505,3.225806452,3.584506546,3.635626236
Mark Twain National Forest,34.51327434,32.03883495,8.602150538,1.769911504,3.883495146,5.376344086,25.05141994,3.676583579
Manti-La Sal National Forest,2.654867257,7.766990291,3.225806452,0.884955752,7.766990291,3.225806452,4.549221333,3.959250832
White River National Forest,1.769911504,4.854368932,3.225806452,4.424778761,5.825242718,2.150537634,3.283362296,4.133519705
Fishlake National Forest,0.884955752,5.825242718,3.225806452,1.769911504,9.708737864,3.225806452,3.312001641,4.901485273
Humboldt-Toiyabe National Forest,2.654867257,9.708737864,6.451612903,0.884955752,8.737864078,5.376344086,6.271739341,4.999721305
Carson National Forest,4.424778761,3.883495146,3.225806452,7.96460177,3.883495146,3.225806452,3.844693453,5.024634456
Francis Marion and Sumter National Forests,8.849557522,37.86407767,36.55913978,2.654867257,8.737864078,4.301075269,27.75759166,5.231268868
Ozark-St. Francis National Forest,41.59292035,47.57281553,32.25806452,2.654867257,7.766990291,5.376344086,40.47460013,5.266067211
Pike and San Isabel National Forests,8.849557522,13.59223301,6.451612903,7.079646018,4.854368932,4.301075269,9.631134478,5.41169674
Lassen National Forest,1.769911504,6.796116505,7.52688172,0.884955752,9.708737864,6.451612903,5.364303243,5.68176884
Klamath National Forest,3.539823009,3.883495146,7.52688172,0.884955752,12.62135922,5.376344086,4.983399958,6.294219687
Rio Grande National Forest,1.769911504,3.883495146,3.225806452,9.734513274,6.796116505,3.225806452,2.959737701,6.585478744
Mendocino National Forest,2.654867257,0.970873786,2.150537634,0.884955752,10.67961165,8.602150538,1.925426226,6.722239313
Arapaho and Roosevelt National Forests,0.884955752,7.766990291,4.301075269,3.539823009,9.708737864,8.602150538,4.317673771,7.28357047
Willamette National Forest,8.849557522,16.50485437,13.97849462,0.884955752,17.47572816,4.301075269,13.11096884,7.553919725
Allegheny National Forest,2.654867257,2.912621359,10.75268817,12.38938053,3.883495146,6.451612903,5.440058929,7.574829527
Shasta-Trinity National Forest,4.424778761,2.912621359,5.376344086,0.884955752,13.59223301,10.75268817,4.237914735,8.409958978
White Mountain National Forest,13.27433628,2.912621359,7.52688172,9.734513274,5.825242718,9.677419355,7.904613121,8.412391783
Mt. Baker-Snoqualmie National Forest,10.61946903,19.41747573,15.05376344,3.539823009,20.38834951,3.225806452,15.03023607,9.051326325
Six Rivers National Forest,5.309734513,1.941747573,2.150537634,4.424778761,15.53398058,10.75268817,3.134006573,10.23714917
Midewin National Tallgrass Prairie,24.77876106,19.41747573,18.27956989,13.27433628,7.766990291,10.75268817,20.82526889,10.59800492
Green Mountain and Finger Lakes National Forests,11.50442478,3.883495146,8.602150538,14.15929204,5.825242718,11.82795699,7.996690154,10.60416391
Ouachita National Forest,32.74336283,57.2815534,31.1827957,11.50442478,16.50485437,4.301075269,40.40257064,10.77011814
Olympic National Forest,19.46902655,16.50485437,6.451612903,8.849557522,16.50485437,8.602150538,14.14183127,11.31885414
Chugach National Forest,10.61946903,12.62135922,4.301075269,15.04424779,17.47572816,2.150537634,9.180634506,11.55683786
Idaho Panhandle National Forests,12.38938053,27.18446602,16.12903226,3.539823009,23.30097087,8.602150538,18.56762627,11.81431481
Colville National Forest,21.23893805,33.98058252,17.20430108,4.424778761,21.3592233,10.75268817,24.14127388,12.17889674
National Forests in Alabama,11.50442478,41.74757282,35.48387097,7.96460177,18.44660194,11.82795699,29.57862285,12.7463869
Medicine Bow-Routt National Forest,0.884955752,4.854368932,6.451612903,5.309734513,20.38834951,15.05376344,4.063645862,13.58394916
Kootenai National Forest,17.69911504,33.98058252,23.65591398,3.539823009,31.06796117,6.451612903,25.11187052,13.68646569
Savannah River Site,0.884955752,34.95145631,37.6344086,3.539823009,25.24271845,13.97849462,24.49027356,14.25367869
Okanogan-Wenatchee National Forest,20.3539823,36.89320388,21.50537634,3.539823009,26.21359223,13.97849462,26.25085418,14.57730329
Fremont-Winema National Forest,4.424778761,16.50485437,7.52688172,0.884955752,23.30097087,21.50537634,9.48550495,15.23043432
Nez Perce-Clearwater National Forest,6.194690265,23.30097087,15.05376344,2.654867257,33.98058252,10.75268817,14.84980819,15.79604598
Deschutes National Forest,7.96460177,19.41747573,16.12903226,0.884955752,26.21359223,20.43010753,14.50370325,15.84288517
Gifford Pinchot National Forest,23.89380531,24.27184466,18.27956989,7.96460177,30.09708738,10.75268817,22.14840662,16.27145911
Siuslaw National Forest,7.96460177,1.941747573,2.150537634,17.69911504,23.30097087,12.90322581,4.018962326,17.96777057
Mt. Hood National Forest,23.89380531,21.3592233,27.95698925,8.849557522,30.09708738,17.20430108,24.40333929,18.71698199
Wallowa-Whitman National Forest,7.079646018,16.50485437,10.75268817,3.539823009,35.9223301,17.20430108,11.44572952,18.88881806
Modoc National Forest,5.309734513,18.44660194,7.52688172,0.884955752,28.15533981,29.03225806,10.42773939,19.35751787
Nebraska National Forest,15.92920354,16.50485437,7.52688172,15.92920354,18.44660194,25.80645161,13.32031321,20.06075236
National Forests in Texas,10.61946903,47.57281553,24.7311828,7.96460177,40.77669903,15.05376344,27.64115579,21.26502141
Flathead National Forest,10.61946903,35.9223301,24.7311828,7.079646018,44.66019417,17.20430108,23.75766064,22.98138042
Payette National Forest,7.079646018,34.95145631,18.27956989,1.769911504,40.77669903,26.88172043,20.10355741,23.14277699
National Forests in Mississippi,18.5840708,52.42718447,40.86021505,10.61946903,37.86407767,21.50537634,37.29049011,23.32964101
Columbia River Gorge National Scenic Area,31.85840708,22.33009709,27.95698925,11.50442478,33.98058252,24.7311828,27.38183114,23.4053967
Umatilla National Forest,10.61946903,18.44660194,16.12903226,7.079646018,35.9223301,30.10752688,15.06503441,24.36983433
Lolo National Forest,15.04424779,39.80582524,32.25806452,7.96460177,46.60194175,22.58064516,29.03604585,25.71572956
Custer Gallatin National Forest,3.539823009,9.708737864,10.75268817,7.96460177,42.7184466,26.88172043,8.000416348,25.85492293
Uinta-Wasatch-Cache National Forest,2.654867257,9.708737864,6.451612903,5.309734513,43.68932039,32.25806452,6.271739341,27.08570647
National Forests in Florida,12.38938053,39.80582524,41.93548387,6.194690265,38.83495146,38.70967742,31.37689655,27.91310638
Black Hills National Forest,8.849557522,4.854368932,7.52688172,14.15929204,33.98058252,36.55913978,7.076936058,28.23300478
Ochoco National Forest,14.15929204,29.12621359,24.7311828,7.96460177,41.74757282,35.48387097,22.67222947,28.39868185
Huron-Manistee National Forest,15.04424779,8.737864078,7.52688172,44.24778761,23.30097087,20.43010753,10.4363312,29.32628867
Caribou-Targhee National Forest,2.654867257,12.62135922,15.05376344,5.309734513,47.57281553,35.48387097,10.10999664,29.45547367
Sawtooth National Forest,2.654867257,11.65048544,9.677419355,3.539823009,44.66019417,40.86021505,7.994257349,29.68674408
Helena-Lewis and Clark National Forest,5.309734513,18.44660194,16.12903226,11.50442478,48.54368932,29.03225806,13.2951229,29.69345739
Dakota Prairie Grasslands,6.194690265,5.825242718,12.90322581,22.12389381,34.95145631,33.33333333,8.307719597,30.13622782
Boise National Forest,6.194690265,26.21359223,13.97849462,5.309734513,47.57281553,41.93548387,15.46225904,31.60601131
Malheur National Forest,13.27433628,42.7184466,19.35483871,9.734513274,48.54368932,45.16129032,25.11587386,34.47983097
Ashley National Forest,3.539823009,9.708737864,7.52688172,15.92920354,50.48543689,39.78494624,6.925147531,35.39986222
Beaverhead-Deerlodge National Forest,7.96460177,42.7184466,49.46236559,9.734513274,54.36893204,44.08602151,33.38180465,36.06315561
Chippewa National Forest,12.38938053,2.912621359,12.90322581,37.16814159,34.95145631,37.6344086,9.401742566,36.58466884
Bitterroot National Forest,18.5840708,53.39805825,70.96774194,9.734513274,57.2815534,46.23655914,47.64995699,37.75087527
Superior National Forest,30.97345133,7.766990291,17.20430108,40.7079646,36.89320388,37.6344086,18.64824756,38.41185903
Chequamegon-Nicolet National Forest,16.81415929,5.825242718,10.75268817,53.98230088,33.98058252,30.10752688,11.13069673,39.35680343
Hiawatha National Forest,38.9380531,9.708737864,15.05376344,48.67256637,38.83495146,36.55913978,21.23351813,41.35555254
Bighorn National Forest,2.654867257,6.796116505,15.05376344,13.27433628,57.2815534,54.83870968,8.168249067,41.79819979
Kisatchie National Forest,28.31858407,62.13592233,46.23655914,23.00884956,65.04854369,38.70967742,45.56368851,42.25569022
Salmon-Challis National Forest,15.92920354,59.22330097,74.19354839,7.96460177,64.0776699,67.74193548,49.78201763,46.59473572
Ottawa National Forest,25.66371681,7.766990291,13.97849462,67.25663717,39.80582524,37.6344086,15.80306724,48.23229034
Bridger-Teton National Forest,13.27433628,51.45631068,65.59139785,11.50442478,63.10679612,79.56989247,43.4406816,51.39370446
Shoshone National Forest,8.849557522,51.45631068,49.46236559,14.15929204,61.16504854,81.72043011,36.58941126,52.3482569
