"","weighted_mean.X1981_si.x_fbi_anom","weighted_mean.X1982_si.x_fbi_anom","weighted_mean.X1983_si.x_fbi_anom","weighted_mean.X1984_si.x_fbi_anom","weighted_mean.X1985_si.x_fbi_anom","weighted_mean.X1986_si.x_fbi_anom","weighted_mean.X1987_si.x_fbi_anom","weighted_mean.X1988_si.x_fbi_anom","weighted_mean.X1989_si.x_fbi_anom","weighted_mean.X1990_si.x_fbi_anom","weighted_mean.X1991_si.x_fbi_anom","weighted_mean.X1992_si.x_fbi_anom","weighted_mean.X1993_si.x_fbi_anom","weighted_mean.X1994_si.x_fbi_anom","weighted_mean.X1995_si.x_fbi_anom","weighted_mean.X1996_si.x_fbi_anom","weighted_mean.X1997_si.x_fbi_anom","weighted_mean.X1998_si.x_fbi_anom","weighted_mean.X1999_si.x_fbi_anom","weighted_mean.X2000_si.x_fbi_anom","weighted_mean.X2001_si.x_fbi_anom","weighted_mean.X2002_si.x_fbi_anom","weighted_mean.X2003_si.x_fbi_anom","weighted_mean.X2004_si.x_fbi_anom","weighted_mean.X2005_si.x_fbi_anom","weighted_mean.X2006_si.x_fbi_anom","weighted_mean.X2007_si.x_fbi_anom","weighted_mean.X2008_si.x_fbi_anom","weighted_mean.X2009_si.x_fbi_anom","weighted_mean.X2010_si.x_fbi_anom","weighted_mean.X2011_si.x_fbi_anom","weighted_mean.X2012_si.x_fbi_anom","weighted_mean.X2013_si.x_fbi_anom","weighted_mean.X2014_si.x_fbi_anom","weighted_mean.X2015_si.x_fbi_anom","weighted_mean.X2016_si.x_fbi_anom","weighted_mean.X2017_si.x_fbi_anom","weighted_mean.X2018_si.x_fbi_anom","weighted_mean.X2019_si.x_fbi_anom","weighted_mean.X2020_si.x_fbi_anom","weighted_mean.X2021_si.x_fbi_anom"
"Mt. Hood National Forest",6.12427234649658,15.150595664978,0.585064649581909,16.5843887329102,7.35286951065063,-0.342864453792572,-10.6400909423828,5.87722158432007,-2.721027135849,-6.90043354034424,13.0319633483887,-21.7063903808594,3.87193536758423,-9.11241626739502,0.386214911937714,2.88562154769897,0.176129564642906,-0.366558879613876,15.2324266433716,4.13644790649414,2.91742777824402,9.03454113006592,2.08374309539795,-9.26550388336182,-3.67788767814636,0.382772654294968,-3.34774351119995,14.9072256088257,7.07425022125244,7.70874071121216,20.9567890167236,7.2142539024353,-4.18330001831055,-4.61771154403687,-22.7494812011719,-18.8798656463623,5.68638277053833,-3.7715950012207,-1.72348308563232,0.321564018726349,0.745574414730072
"Gifford Pinchot National Forest",4.20445775985718,12.5486907958984,-4.34170961380005,15.4061079025269,8.94877147674561,-3.44274520874023,-11.9565286636353,3.234379529953,-1.86884784698486,-3.13308143615723,11.7028436660767,-21.0769329071045,3.3596510887146,-6.9695463180542,-1.8154901266098,6.07438373565674,3.74879169464111,-0.568861842155457,16.4559879302979,6.72148561477661,5.44648790359497,10.6417026519775,0.927452206611633,-8.05838489532471,-6.74262094497681,-1.10137701034546,-2.95485472679138,14.0703210830688,4.67895221710205,4.1894097328186,20.9243755340576,8.31332206726074,-2.28497290611267,-4.99421977996826,-23.3903369903564,-18.7453441619873,4.68616104125977,-5.57713985443115,-4.86150598526001,1.76315867900848,1.95420932769775
"Eldorado National Forest",4.02518320083618,17.366678237915,16.7226409912109,5.38946151733398,4.73524284362793,-7.11897277832031,-2.84965896606445,-2.60973191261292,1.39727318286896,0.823716521263123,7.37627267837524,-11.8253135681152,6.48993349075317,-2.40079689025879,9.27219486236572,-2.17829132080078,-6.24857521057129,20.1291961669922,14.3447036743164,-0.89765328168869,-2.61512994766235,0.436622232198715,1.42911946773529,-7.91514253616333,4.59401273727417,5.22223424911499,-9.16708850860596,3.37116456031799,0.820829749107361,13.1095190048218,18.6130352020264,0.502035140991211,-5.96760129928589,-14.414794921875,-22.5083427429199,-9.79501342773438,1.1255441904068,-0.757581114768982,8.75634670257568,-4.47444343566895,-0.160182744264603
"Coconino National Forest",0.918476760387421,8.72932624816895,16.3084335327148,5.12532663345337,2.29872751235962,-6.88429927825928,8.04340648651123,6.7761664390564,-9.15534687042236,4.32576751708984,13.2238731384277,3.40731263160706,3.85738825798035,4.57380723953247,5.33949613571167,-4.6653618812561,2.0729672908783,20.0377864837646,3.68273496627808,-1.00674986839294,5.04711484909058,-1.91782236099243,4.85434865951538,-2.54448843002319,4.8329963684082,1.43537747859955,-4.2539496421814,5.22315216064453,-2.29831624031067,11.2463788986206,1.30721759796143,-2.49115014076233,-1.0024585723877,-11.0390434265137,-17.4891929626465,-11.0271034240723,-10.8078107833862,-8.01492309570312,2.64585709571838,0.216152504086494,0.607988893985748
"Tonto National Forest",1.58379530906677,7.74082040786743,11.9897994995117,4.5788197517395,7.38105964660645,-6.33122444152832,8.32973384857178,5.13126373291016,-1.56433176994324,8.06553268432617,5.80303382873535,4.31193351745605,4.1941032409668,5.59330177307129,0.937318623065948,-4.63608503341675,2.3997049331665,15.2909774780273,-2.39179015159607,-5.16649913787842,9.40741539001465,0.961926519870758,-2.96712565422058,2.23613524436951,0.2428347915411,-2.18667387962341,-0.311870813369751,5.60976362228394,-5.3652172088623,8.88576507568359,3.89896559715271,-0.552934944629669,4.84259510040283,-10.7417936325073,-14.3441820144653,-8.86179256439209,-5.75282526016235,-6.61949777603149,8.15793418884277,1.84074926376343,-2.07499194145203
"Lolo National Forest",4.33084678649902,8.45636940002441,2.36605620384216,14.9573602676392,-3.08592391014099,-4.92403268814087,-17.6157112121582,-1.54536557197571,3.40608429908752,8.91603183746338,11.9468173980713,-10.8027210235596,-2.24432969093323,-3.91289949417114,6.53458452224731,10.63623046875,2.49047470092773,-2.30042290687561,8.45916652679443,1.1024272441864,-0.181402236223221,9.85873222351074,0.52925431728363,-0.570122063159943,1.56164467334747,-7.28347444534302,-8.83749198913574,9.9724588394165,0.98252409696579,9.99576377868652,13.799186706543,0.866722941398621,-3.36836695671082,-0.67042487859726,-10.8367853164673,-13.3942937850952,-3.01821899414062,-8.24964237213135,-1.8546382188797,3.72854614257812,2.79718613624573
"Flathead National Forest",3.6103687286377,7.3831992149353,3.09225988388062,12.2201662063599,-2.76372456550598,-6.55752372741699,-16.5752849578857,-4.31972360610962,3.33072519302368,8.66090106964111,9.91469383239746,-9.38166332244873,-2.13961386680603,-2.79642176628113,5.86461639404297,9.59732151031494,3.39991188049316,-3.12630343437195,6.97574758529663,2.75051379203796,0.621637105941772,9.04461288452148,-0.478101253509521,1.26433598995209,1.24067938327789,-7.76397466659546,-8.50129699707031,7.99751901626587,1.12081706523895,9.06915760040283,13.2843065261841,1.55321979522705,-3.16986799240112,0.010834839195013,-9.50221729278564,-11.3684005737305,-4.35083246231079,-9.36321926116943,-0.999445676803589,4.03410196304321,2.10907816886902
"Nez Perce-Clearwater National Forest",3.37622117996216,8.88735389709473,1.39897763729095,16.7436351776123,-1.17388200759888,-2.81921648979187,-14.9396781921387,-0.0611683912575245,1.01651120185852,3.44897246360779,13.0268545150757,-13.1809616088867,-0.454470098018646,-4.98327684402466,5.39845895767212,9.8995418548584,2.17117476463318,-0.57206255197525,11.3090763092041,-0.478699713945389,0.320785313844681,8.57673645019531,1.2876935005188,-4.51965761184692,-1.07273018360138,-5.62993431091309,-8.46069145202637,10.2466917037964,1.71471726894379,9.44835948944092,16.5447406768799,1.74909424781799,-3.16545534133911,-0.719688653945923,-12.3942289352417,-15.2520666122437,-0.322876304388046,-7.20505571365356,-2.25037407875061,3.68449997901917,1.03253364562988
"Idaho Panhandle National Forests",3.93565893173218,7.53779554367065,0.458545535802841,16.0020923614502,-0.215510725975037,-0.595112562179565,-13.893009185791,1.31518828868866,1.68588149547577,6.56302547454834,12.0040941238403,-10.6874103546143,-3.170334815979,-5.7637767791748,2.64543414115906,12.1001024246216,3.31678605079651,-7.24683475494385,11.115761756897,3.81512212753296,2.41212677955627,10.7805480957031,3.57836937904358,-4.86200857162476,-3.85263299942017,-5.03977394104004,-6.6220850944519,9.51193046569824,2.938889503479,7.60614061355591,15.2527990341187,3.90625095367432,-3.45874357223511,-0.61639803647995,-11.4602422714233,-17.3007049560547,0.944056808948517,-7.29904127120972,-4.09190559387207,4.33394527435303,0.607296764850616
"Bitterroot National Forest",5.96815490722656,9.12496948242188,3.40338397026062,16.4368648529053,-2.99240112304688,-6.63065385818481,-16.1508979797363,-2.54638719558716,2.43976879119873,7.88127136230469,12.5006608963013,-11.8158760070801,1.10014569759369,-3.06031060218811,8.90142250061035,9.19827651977539,1.14865708351135,4.13112640380859,7.91123819351196,-0.901647686958313,-2.15691423416138,6.38497495651245,-1.47514748573303,-0.915717363357544,3.64768934249878,-8.19041347503662,-9.93781852722168,8.65171909332275,0.169731885194778,11.2667808532715,14.461443901062,0.633459627628326,-4.02003002166748,-0.312669187784195,-10.4025430679321,-11.5545711517334,-2.71775960922241,-8.15947437286377,-2.58175420761108,2.56048655509949,0.911973714828491
